Note: aws_security_group_rule.egress_with_source_security_group_id not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_cidr_blocks not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_ipv6_cidr_blocks not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_ipv6_cidr_blocks not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_self not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_prefix_list_ids not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_ingress_rules not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_ingress_with_cidr_blocks not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.ingress_with_self not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_prefix_list_ids not in state for module.rdsdb_sg (likely count=0), defaulting to null
Note: aws_network_acl.private not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl.database not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl.redshift not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl.elasticache not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl.intra not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl.outpost not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl.public not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table.redshift not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table.elasticache not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table.intra not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table_association.redshift not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table_association.redshift_public not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table_association.elasticache not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table_association.intra not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route_table_association.outpost not in state for module.vpc (likely count=0), defaulting to null
Note: aws_egress_only_internet_gateway.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpn_gateway.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpn_gateway_attachment.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_cloudwatch_log_group.flow_log not in state for module.vpc (likely count=0), defaulting to null
Note: aws_iam_policy.vpc_flow_log_cloudwatch not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpc_dhcp_options.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.private_ipv6_egress not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.private_dns64_nat_gateway not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.public_internet_gateway_ipv6 not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.database_internet_gateway not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.database_nat_gateway not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.database_dns64_nat_gateway not in state for module.vpc (likely count=0), defaulting to null
Note: aws_route.database_ipv6_egress not in state for module.vpc (likely count=0), defaulting to null
Note: aws_redshift_subnet_group.redshift not in state for module.vpc (likely count=0), defaulting to null
Note: aws_elasticache_subnet_group.elasticache not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpn_gateway_route_propagation.public not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpn_gateway_route_propagation.private not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpn_gateway_route_propagation.intra not in state for module.vpc (likely count=0), defaulting to null
Note: aws_default_vpc.this not in state for module.vpc (likely count=0), defaulting to null
